time,latent_dim,latent
1992-02-15 00:00:00,5,0.59169316
1992-02-15 00:00:00,6,0.0863084
1992-03-16 00:00:00,0,-0.041265912
1992-03-16 00:00:00,1,0.23234138
1992-03-16 00:00:00,2,-0.23815674
1992-03-16 00:00:00,3,-0.5826275
1992-03-16 00:00:00,4,0.38885486
1992-03-16 00:00:00,5,0.7927947
1992-03-16 00:00:00,6,0.23109496
1992-04-15 12:00:00,0,-0.13648468
1992-04-15 12:00:00,1,0.32320523
1992-04-15 12:00:00,2,0.10128163
1992-04-15 12:00:00,3,-0.2288328
1992-04-15 12:00:00,4,0.18120846
1992-04-15 12:00:00,5,0.34727037
1992-04-15 12:00:00,6,-0.09785503
1992-05-16 00:00:00,0,-0.18157886
1992-05-16 00:00:00,1,0.36049068
1992-05-16 00:00:00,2,-0.047751702
1992-05-16 00:00:00,3,-0.25467804
1992-05-16 00:00:00,4,0.16765767
1992-05-16 00:00:00,5,0.56139475
1992-05-16 00:00:00,6,-0.07092973
1992-06-15 12:00:00,0,-0.24140424
1992-06-15 12:00:00,1,0.35428184
1992-06-15 12:00:00,2,-0.054126278
1992-06-15 12:00:00,3,-0.37996322
1992-06-15 12:00:00,4,0.24169008
1992-06-15 12:00:00,5,0.6946684
1992-06-15 12:00:00,6,-0.15918565
1992-07-16 00:00:00,0,-0.12942193
1992-07-16 00:00:00,1,0.3810044
1992-07-16 00:00:00,2,-0.07452638
1992-07-16 00:00:00,3,-0.26992017
1992-07-16 00:00:00,4,0.14025983
1992-07-16 00:00:00,5,0.6158847
1992-07-16 00:00:00,6,0.0043458343
1992-08-16 00:00:00,0,-0.11332269
1992-08-16 00:00:00,1,0.32464242
1992-08-16 00:00:00,2,0.0519066
1992-08-16 00:00:00,3,-0.13231659
1992-08-16 00:00:00,4,0.064919144
1992-08-16 00:00:00,5,0.43982035
1992-08-16 00:00:00,6,-0.13797873
1992-09-15 12:00:00,0,-0.14175692
1992-09-15 12:00:00,1,0.34385592
1992-09-15 12:00:00,2,0.0407483
1992-09-15 12:00:00,3,-0.17235334
